KorhazRovid;Korhaz;SzakmaKod;SzakmaMegnev;OsszesAgy;MukodoIAgy;MukodoIIAgy;TartoSzuneteloAgy;Kiesett6HonapnalHosszabb;Kiesett6HonapnalRovidebb;TeljesithetoApolasiNapSzam;ElbocsatottBetegSzam;EltavozottBetegSzam;MasOsztalyBetegSzam;MeghaltBetegSzam;EgynaposEsetSzam;TeljesitettApolasiNapSzam;ApolasAtlTartam;Agykihasznalas;Halalozas;Ev;OsszesAtlagAgy;MukodoAtlagAgy
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;6;Fül-orr-gégészet;20;20;20;0;0;0;7320;959;955;1;3;0;4373;4,56;59,74;0,31;2000;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;7;Szemészet;18;18;18;0;0;0;6588;989;970;19;0;0;4602;4,65;69,85;0;2000;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;8;Bőr- és nemibeteg;25;25;25;0;0;0;9150;444;411;33;0;0;8242;18,56;90,08;0;2000;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;9;Ideggyógyászat;30;30;30;0;0;0;10980;865;734;65;66;3;9302;10,75;84,72;7,63;2000;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;14;Reumatológia;45;45;45;0;0;0;16470;1056;989;67;0;0;12916;12,23;78,42;0;2000;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;15;Intenzív betegellátó;6;6;6;0;0;0;2196;440;108;249;83;31;1787;4,06;81,38;18,86;2000;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;1;Belgyógyászat;119;119;119;0;0;0;43554;4466;3583;644;239;46;37469;8,39;86,03;5,35;2000;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;2;Sebészet;50;50;50;0;0;0;18300;2176;1943;170;63;36;14720;6,76;80,44;2,9;2000;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;3;Traumatológia;40;40;40;0;0;0;14640;1408;1316;75;17;19;9907;7,04;67,67;1,21;2000;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;4;Szülészet-nőgyógyászat;50;50;50;0;0;208;18092;3591;3566;25;0;3;15780;4,39;87,22;0;2000;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;11;Urológia;60;60;60;0;0;0;21960;2604;2509;68;27;2;16497;6,34;75,12;1,04;2000;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;12;Onkológia, onkoradiológia;30;30;30;0;0;0;10980;1063;966;31;66;2;4268;4,02;38,87;6,21;2000;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;14;Reumatológia;30;30;30;0;0;0;10980;780;776;4;0;0;9420;12,08;85,79;0;2000;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;15;Intenzív betegellátó;10;10;10;0;0;0;3660;691;159;330;202;70;3233;4,68;88,33;29,23;2000;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;16;Fertőző betegellátó;50;50;50;0;0;0;18300;1540;1453;60;27;1;9825;6,38;53,69;1,75;2000;;
0604;Szeged Megyei Jogú Város Önkormányzat Gyermekkórháza;5;Csecsemő- és gyermekgyógyászat;85;85;85;0;0;0;31110;2869;2853;12;4;3;21878;7,63;70,32;0,14;2000;;
0604;Szeged Megyei Jogú Város Önkormányzat Gyermekkórháza;6;Fül-orr-gégészet;20;20;20;0;0;0;7320;2722;2719;3;0;0;5859;2,15;80,04;0;2000;;
0605;Városi Dr. Diósszilágyi Sámuel KH-RI, Makó;1;Belgyógyászat;70;70;70;0;0;0;25620;1934;1542;214;178;31;23307;12,05;90,97;9,2;2000;;
0605;Városi Dr. Diósszilágyi Sámuel KH-RI, Makó;2;Sebészet;40;40;40;0;0;0;14640;2143;1957;130;56;25;12048;5,62;82,3;2,61;2000;;
0605;Városi Dr. Diósszilágyi Sámuel KH-RI, Makó;4;Szülészet-nőgyógyászat;40;40;20;0;0;300;14340;1629;1622;6;1;2;9942;6,1;69,33;0,06;2000;;
0605;Városi Dr. Diósszilágyi Sámuel KH-RI, Makó;5;Csecsemő- és gyermekgyógyászat;30;30;30;0;0;0;10980;1007;1005;2;0;0;5795;5,75;52,78;0;2000;;
0605;Városi Dr. Diósszilágyi Sámuel KH-RI, Makó;6;Fül-orr-gégészet;20;20;20;0;0;0;7320;741;730;3;8;1;3410;4,6;46,58;1,08;2000;;
0605;Városi Dr. Diósszilágyi Sámuel KH-RI, Makó;7;Szemészet;18;18;18;0;0;0;6588;683;678;5;0;0;3470;5,08;52,67;0;2000;;
0605;Városi Dr. Diósszilágyi Sámuel KH-RI, Makó;9;Ideggyógyászat;30;30;30;0;0;0;10980;662;515;78;69;2;6501;9,82;59,21;10,42;2000;;
0605;Városi Dr. Diósszilágyi Sámuel KH-RI, Makó;15;Intenzív betegellátó;6;6;6;0;0;54;2142;273;136;77;60;20;1217;4,46;56,82;21,98;2000;;
0643;Szegedi Tudományegyetem;1;Belgyógyászat;227;227;227;0;0;0;83082;9809;8969;491;349;96;73482;7,49;88,45;3,56;2000;;
0643;Szegedi Tudományegyetem;2;Sebészet;172;172;172;0;0;0;62952;7225;5909;1230;86;304;49416;6,84;78,5;1,19;2000;;
0643;Szegedi Tudományegyetem;3;Traumatológia;66;66;66;0;0;0;24156;2447;2285;148;14;29;19694;8,05;81,53;0,57;2000;;
0643;Szegedi Tudományegyetem;4;Szülészet-nőgyógyászat;110;110;110;0;0;0;40260;6846;6677;169;0;495;29209;4,27;72,55;0;2000;;
0643;Szegedi Tudományegyetem;5;Csecsemő- és gyermekgyógyászat;125;125;125;0;0;0;45750;5237;4388;789;60;270;29561;5,64;64,61;1,15;2000;;
0643;Szegedi Tudományegyetem;6;Fül-orr-gégészet;43;43;43;0;0;0;15738;2389;2238;147;4;86;11764;4,92;74,75;0,17;2000;;
0643;Szegedi Tudományegyetem;7;Szemészet;70;70;70;0;0;0;25620;3677;3659;18;0;7;14518;3,95;56,67;0;2000;;
0643;Szegedi Tudományegyetem;8;Bőr- és nemibeteg;63;63;63;0;0;0;23058;2649;2475;153;21;1;18565;7,01;80,51;0,79;2000;;
0643;Szegedi Tudományegyetem;9;Ideggyógyászat;56;56;56;0;0;0;20496;1614;1434;167;13;4;14071;8,72;68,65;0,81;2000;;
0643;Szegedi Tudományegyetem;10;Ortopédia;60;60;60;0;0;0;21960;1715;1681;34;0;1;19761;11,52;89,99;0;2000;;
0643;Szegedi Tudományegyetem;12;Onkológia, onkoradiológia;38;38;38;0;0;0;13908;1895;1861;16;18;1;10210;5,39;73,41;0,95;2000;;
0643;Szegedi Tudományegyetem;13;Fog- és szájsebészet;15;15;15;0;0;0;5490;423;416;6;1;2;2292;5,42;41,75;0,24;2000;;
0643;Szegedi Tudományegyetem;15;Intenzív betegellátó;28;28;28;0;0;0;10248;1965;437;1277;251;130;6724;3,42;65,61;12,77;2000;;
0106;Fővárosi Szent János KH-RI;1;Belgyógyászat;310;310;310;0;0;0;113460;8919;7611;847;461;98;76892;8,62;67,77;5,17;2000;;
0106;Fővárosi Szent János KH-RI;2;Sebészet;108;108;108;0;0;0;39528;3932;3402;399;131;65;30026;7,64;75,96;3,33;2000;;
0106;Fővárosi Szent János KH-RI;3;Traumatológia;207;207;207;0;0;0;75762;4980;4570;329;81;69;46778;9,39;61,74;1,63;2000;;
0106;Fővárosi Szent János KH-RI;4;Szülészet-nőgyógyászat;60;60;60;0;0;0;21960;3495;3446;49;0;8;12809;3,66;58,33;0;2000;;
0106;Fővárosi Szent János KH-RI;5;Csecsemő- és gyermekgyógyászat;80;80;80;0;0;0;29280;3390;3353;34;3;18;18302;5,4;62,51;0,09;2000;;
0106;Fővárosi Szent János KH-RI;6;Fül-orr-gégészet;42;42;42;0;0;0;15372;2051;2026;15;10;2;10450;5,1;67,98;0,49;2000;;
0106;Fővárosi Szent János KH-RI;7;Szemészet;21;21;21;0;0;0;7686;1553;1532;20;1;3;4726;3,04;61,49;0,06;2000;;
0106;Fővárosi Szent János KH-RI;9;Ideggyógyászat;32;32;32;0;0;0;11712;849;689;135;25;2;9494;11,18;81,06;2,94;2000;;
0106;Fővárosi Szent János KH-RI;10;Ortopédia;28;28;28;0;0;0;10248;872;837;30;5;3;7933;9,1;77,41;0,57;2000;;
0106;Fővárosi Szent János KH-RI;11;Urológia;40;40;40;0;0;0;14640;1705;1630;56;19;19;11951;7,01;81,63;1,11;2000;;
0106;Fővárosi Szent János KH-RI;13;Fog- és szájsebészet;12;12;12;0;0;0;4392;507;491;10;6;0;3540;6,98;80,6;1,18;2000;;
0106;Fővárosi Szent János KH-RI;15;Intenzív betegellátó;15;15;15;0;0;0;5490;622;60;298;264;95;2426;3,9;44,19;42,44;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;1;Belgyógyászat;314;297;297;17;6222;0;109678;10834;8866;1546;422;99;83923;7,75;76,52;3,9;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;2;Sebészet;104;104;104;0;0;0;38064;5842;5361;406;75;38;34725;5,94;91,23;1,28;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;3;Traumatológia;101;101;101;0;0;0;36966;4774;4532;214;28;28;29413;6,16;79,57;0,59;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;4;Szülészet-nőgyógyászat;121;121;121;0;0;0;44286;6360;6140;207;13;23;30859;4,85;69,68;0,2;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;5;Csecsemő- és gyermekgyógyászat;110;110;110;0;0;0;40260;3810;3741;50;19;49;21847;5,73;54,26;0,5;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;6;Fül-orr-gégészet;40;40;40;0;0;0;14640;3394;3299;78;17;9;12126;3,57;82,83;0,5;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;7;Szemészet;33;33;33;0;0;0;12078;1496;1482;14;0;1;5428;3,63;44,94;0;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;8;Bőr- és nemibeteg;25;25;25;0;0;0;9150;925;899;25;1;1;5850;6,32;63,93;0,11;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;9;Ideggyógyászat;74;74;74;0;0;0;27084;2138;1698;226;214;25;14548;6,8;53,71;10,01;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;10;Ortopédia;33;33;33;0;0;0;12078;1156;1092;64;0;1;10179;8,81;84,28;0;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;11;Urológia;32;32;32;0;0;0;11712;1561;1492;64;5;5;8805;5,64;75,18;0,32;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;12;Onkológia, onkoradiológia;8;8;8;0;0;0;976;0;0;0;0;0;0;;0;0;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;13;Fog- és szájsebészet;8;8;8;0;0;0;2928;0;0;0;0;0;0;;0;0;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;14;Reumatológia;71;71;71;0;0;3333;22653;1640;1620;20;0;1;21889;13,35;96,63;0;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;15;Intenzív betegellátó;36;36;36;0;0;0;13176;1640;314;948;378;109;6588;4,02;50;23,05;2000;;
0701;Fejér Megyei Szent György Kórház, Székesfehérvár;16;Fertőző betegellátó;55;55;55;0;0;0;20130;1946;1760;146;40;14;12975;6,67;64,46;2,06;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;1;Belgyógyászat;168;168;168;0;0;0;61488;5708;4754;675;279;70;44653;7,82;72,62;4,89;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;2;Sebészet;70;70;70;0;0;0;25620;2818;2594;189;35;20;15975;5,67;62,35;1,24;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;3;Traumatológia;55;55;55;0;0;0;20130;1892;1811;66;15;4;14506;7,67;72,06;0,79;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;4;Szülészet-nőgyógyászat;80;80;80;0;0;0;29280;3034;3011;22;1;10;15411;5,08;52,63;0,03;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;5;Csecsemő- és gyermekgyógyászat;52;52;52;0;0;0;19032;1645;1625;19;1;20;10099;6,14;53,06;0,06;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;6;Fül-orr-gégészet;26;26;26;0;0;0;9516;1812;1784;21;7;2;6225;3,44;65,42;0,39;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;7;Szemészet;25;25;25;0;0;0;9150;1592;1582;10;0;0;6401;4,02;69,96;0;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;9;Ideggyógyászat;50;50;50;0;0;0;18300;2133;2027;96;10;3;17386;8,15;95,01;0,47;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;11;Urológia;25;25;25;0;0;0;9150;1275;1237;31;7;0;6523;5,12;71,29;0,55;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;15;Intenzív betegellátó;12;12;12;0;0;0;4392;595;95;380;120;28;2877;4,84;65,51;20,17;2000;;
0702;Városi Szent Pantaleon Kórház, Dunaújváros;16;Fertőző betegellátó;46;46;46;0;0;0;16836;1666;1556;72;38;7;13489;8,1;80,12;2,28;2000;;
0703;Városi KH-RI, Mór;1;Belgyógyászat;65;65;65;0;0;2024;21766;1533;1363;81;89;7;14438;9,42;66,33;5,81;2000;;
0703;Városi KH-RI, Mór;2;Sebészet;50;50;50;0;0;3404;14896;1518;1470;41;7;7;8375;5,52;56,22;0,46;2000;;
0703;Városi KH-RI, Mór;4;Szülészet-nőgyógyászat;35;35;35;0;0;2024;10786;1186;1181;5;0;57;7031;5,93;65,19;0;2000;;
0801;Megyei Petz Aladár Kórház, Győr;1;Belgyógyászat;232;232;232;0;0;0;84912;8415;7192;694;529;111;62203;7,39;73,26;6,29;2000;;
0801;Megyei Petz Aladár Kórház, Győr;2;Sebészet;239;239;239;0;0;0;87474;7745;7274;318;153;40;49283;6,36;56,34;1,98;2000;;
0801;Megyei Petz Aladár Kórház, Győr;3;Traumatológia;135;135;135;0;0;0;49410;4959;4755;113;91;25;36721;7,4;74,32;1,84;2000;;
0801;Megyei Petz Aladár Kórház, Győr;4;Szülészet-nőgyógyászat;150;150;150;0;0;0;54900;6880;6824;53;3;1697;30494;4,43;55,54;0,04;2000;;
0801;Megyei Petz Aladár Kórház, Győr;5;Csecsemő- és gyermekgyógyászat;85;85;85;0;0;0;31110;2537;2342;164;31;16;21035;8,29;67,61;1,22;2000;;
0801;Megyei Petz Aladár Kórház, Győr;6;Fül-orr-gégészet;47;47;47;0;0;0;17202;2657;2593;42;22;0;13754;5,18;79,96;0,83;2000;;
0801;Megyei Petz Aladár Kórház, Győr;7;Szemészet;52;52;52;0;0;0;19032;964;951;11;2;0;10188;10,57;53,53;0,21;2000;;
0801;Megyei Petz Aladár Kórház, Győr;8;Bőr- és nemibeteg;31;31;31;0;0;0;11346;752;720;25;7;1;8072;10,73;71,14;0,93;2000;;
0801;Megyei Petz Aladár Kórház, Győr;9;Ideggyógyászat;51;51;51;0;0;0;18666;1735;958;628;149;25;11938;6,88;63,96;8,59;2000;;
0801;Megyei Petz Aladár Kórház, Győr;10;Ortopédia;32;32;32;0;0;0;11712;1052;1047;5;0;0;9138;8,69;78,02;0;2000;;
0801;Megyei Petz Aladár Kórház, Győr;11;Urológia;55;55;55;0;0;0;20130;2081;2039;18;24;2;9948;4,78;49,42;1,15;2000;;
0801;Megyei Petz Aladár Kórház, Győr;12;Onkológia, onkoradiológia;88;88;88;0;0;0;32208;3110;2988;26;96;4;15791;5,08;49,03;3,09;2000;;
0801;Megyei Petz Aladár Kórház, Győr;13;Fog- és szájsebészet;14;14;14;0;0;0;5124;510;505;4;1;0;3097;6,07;60,44;0,2;2000;;
0801;Megyei Petz Aladár Kórház, Győr;14;Reumatológia;54;54;54;0;0;0;19764;1344;1324;20;0;0;17197;12,8;87,01;0;2000;;
0801;Megyei Petz Aladár Kórház, Győr;15;Intenzív betegellátó;20;20;20;0;0;0;7320;671;179;357;135;24;4611;6,87;62,99;20,12;2000;;
0801;Megyei Petz Aladár Kórház, Győr;16;Fertőző betegellátó;38;38;38;0;0;0;13908;490;415;50;25;1;4527;9,24;32,55;5,1;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;1;Belgyógyászat;66;66;66;0;0;0;24156;2034;1693;209;132;22;17526;8,62;72,55;6,49;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;2;Sebészet;60;60;60;0;0;0;21960;2558;2398;103;57;17;16685;6,52;75,98;2,23;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;3;Traumatológia;30;30;30;0;0;0;10980;1361;1303;50;8;2;8616;6,33;78,47;0,59;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;4;Szülészet-nőgyógyászat;52;52;52;0;0;0;19032;2631;2620;9;2;15;9931;3,77;52,18;0,08;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;5;Csecsemő- és gyermekgyógyászat;48;48;48;0;0;0;17568;1599;1593;6;0;9;9476;5,93;53,94;0;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;6;Fül-orr-gégészet;21;21;21;0;0;0;7686;1507;1491;12;4;3;3493;2,32;45,45;0,27;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;7;Szemészet;18;18;18;0;0;0;6588;805;802;3;0;3;3664;4,55;55,62;0;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;9;Ideggyógyászat;45;45;45;0;0;0;16470;1628;1389;130;109;18;12553;7,71;76,22;6,7;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;11;Urológia;25;25;25;0;0;0;9150;979;953;19;7;1;4353;4,45;47,57;0,72;2000;;
0802;Sopron Megyei Jogú Város Erzsébet Kórház;15;Intenzív betegellátó;8;8;8;0;0;0;2928;252;63;136;53;15;1182;4,69;40,37;21,03;2000;;
0107;Fővárosi Szent Margit KH-RI;1;Belgyógyászat;230;230;230;0;0;0;84180;6429;5258;809;362;66;62070;9,65;73,73;5,63;2000;;
0107;Fővárosi Szent Margit KH-RI;2;Sebészet;65;65;65;0;0;0;23790;2151;1857;270;24;37;13457;6,26;56,57;1,12;2000;;
0107;Fővárosi Szent Margit KH-RI;4;Szülészet-nőgyógyászat;89;89;89;0;0;0;32574;5308;5226;81;1;4;23661;4,46;72,64;0,02;2000;;
0107;Fővárosi Szent Margit KH-RI;5;Csecsemő- és gyermekgyógyászat;8;8;8;0;0;0;2928;339;339;0;0;3;3309;9,76;113;0;2000;;
0107;Fővárosi Szent Margit KH-RI;9;Ideggyógyászat;45;45;45;0;0;0;16470;1094;1032;45;17;2;13389;12,24;81,29;1,55;2000;;
0107;Fővárosi Szent Margit KH-RI;12;Onkológia, onkoradiológia;50;50;50;0;0;0;18300;2391;2171;81;139;10;14996;6,27;81,95;5,81;2000;;
0107;Fővárosi Szent Margit KH-RI;15;Intenzív betegellátó;6;6;6;0;0;0;2196;333;14;264;55;29;1129;3,39;51,41;16,52;2000;;
0803;Városi Karolina KH-RI, Mosonmagyaróvár;1;Belgyógyászat;84;84;84;0;0;0;30744;3081;2817;81;183;36;23722;7,7;77,16;5,94;2000;;
0803;Városi Karolina KH-RI, Mosonmagyaróvár;2;Sebészet;40;40;40;0;0;0;14640;1964;1751;195;18;23;11354;5,78;77,55;0,92;2000;;
0803;Városi Karolina KH-RI, Mosonmagyaróvár;3;Traumatológia;30;30;30;0;0;0;10980;1201;1112;85;4;18;5989;4,99;54,54;0,33;2000;;
0803;Városi Karolina KH-RI, Mosonmagyaróvár;4;Szülészet-nőgyógyászat;30;30;30;0;0;0;10980;1920;1912;8;0;4;9672;5,04;88,09;0;2000;;
0803;Városi Karolina KH-RI, Mosonmagyaróvár;5;Csecsemő- és gyermekgyógyászat;30;30;30;0;0;0;10980;885;885;0;0;0;4900;5,54;44,63;0;2000;;
0803;Városi Karolina KH-RI, Mosonmagyaróvár;15;Intenzív betegellátó;6;6;6;0;0;0;2196;313;19;266;28;7;872;2,79;39,71;8,95;2000;;
0804;Városi Margit KH-RI, Csorna;1;Belgyógyászat;51;51;51;0;0;0;18666;1557;1412;76;69;8;12322;7,91;66,01;4,43;2000;;
0804;Városi Margit KH-RI, Csorna;2;Sebészet;40;40;40;0;0;0;14640;1126;1069;42;15;3;7092;6,3;48,44;1,33;2000;;
0804;Városi Margit KH-RI, Csorna;4;Szülészet-nőgyógyászat;30;30;30;0;0;0;10980;1235;1229;6;0;3;5431;4,4;49,46;0;2000;;
0804;Városi Margit KH-RI, Csorna;9;Ideggyógyászat;30;30;30;0;0;0;10980;859;781;52;26;1;8661;10,08;78,88;3,03;2000;;
0805;Városi Dr. Lumniczer Sándor KH-RI, Kapuvár;1;Belgyógyászat;50;50;50;0;0;0;18300;1359;1202;27;130;28;14509;10,68;79,28;9,57;2000;;
0805;Városi Dr. Lumniczer Sándor KH-RI, Kapuvár;2;Sebészet;40;40;40;0;0;0;14640;780;732;21;27;1;6363;8,16;43,46;3,46;2000;;
0805;Városi Dr. Lumniczer Sándor KH-RI, Kapuvár;4;Szülészet-nőgyógyászat;20;20;20;0;0;0;7320;652;651;1;0;59;2751;4,22;37,58;0;2000;;
0805;Városi Dr. Lumniczer Sándor KH-RI, Kapuvár;5;Csecsemő- és gyermekgyógyászat;20;20;20;0;0;0;7320;401;401;0;0;0;3127;7,8;42,72;0;2000;;
0864;Állami Szanatórium, Sopron;1;Belgyógyászat;10;10;10;0;0;0;3660;239;33;205;1;2;2256;9,44;61,64;0,42;2000;;
0901;Megyei Kenézy Gyula Kórház, Debrecen;1;Belgyógyászat;222;222;222;0;0;0;81252;8817;7830;704;283;55;66791;7,58;82,2;3,21;2000;;
0901;Megyei Kenézy Gyula Kórház, Debrecen;2;Sebészet;96;96;96;0;0;0;35136;3559;3298;204;57;18;24265;6,82;69,06;1,6;2000;;
0901;Megyei Kenézy Gyula Kórház, Debrecen;3;Traumatológia;149;149;149;0;0;0;54534;6324;5798;475;51;42;47213;7,47;86,58;0,81;2000;;
0901;Megyei Kenézy Gyula Kórház, Debrecen;4;Szülészet-nőgyógyászat;146;146;146;0;0;0;53436;8076;8039;35;2;44;35679;4,42;66,77;0,02;2000;;
0901;Megyei Kenézy Gyula Kórház, Debrecen;5;Csecsemő- és gyermekgyógyászat;114;114;114;0;0;0;41724;5652;5637;14;1;27;37031;6,55;88,75;0,02;2000;;
0901;Megyei Kenézy Gyula Kórház, Debrecen;6;Fül-orr-gégészet;56;56;56;0;0;0;20496;2781;2730;39;12;3;13473;4,84;65,73;0,43;2000;;
0901;Megyei Kenézy Gyula Kórház, Debrecen;7;Szemészet;50;50;50;0;0;0;18300;2309;2293;15;1;2;12381;5,36;67,66;0,04;2000;;
0901;Megyei Kenézy Gyula Kórház, Debrecen;9;Ideggyógyászat;75;75;75;0;0;0;27450;2605;2271;149;185;23;24397;9,37;88,88;7,1;2000;;
0901;Megyei Kenézy Gyula Kórház, Debrecen;11;Urológia;42;42;42;0;0;0;15372;1620;1555;57;8;3;12535;7,74;81,54;0,49;2000;;
